id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kode_kelurahan,nama_kelurahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
111,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070004,INDIHIANG,LAKI-LAKI,4556,JIWA,2015
112,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070004,INDIHIANG,PEREMPUAN,4453,JIWA,2015
113,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070005,SUKAMAJUKIDUL,LAKI-LAKI,4414,JIWA,2015
114,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070005,SUKAMAJUKIDUL,PEREMPUAN,4307,JIWA,2015
115,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070006,SUKAMAJUKALER,LAKI-LAKI,5717,JIWA,2015
116,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070006,SUKAMAJUKALER,PEREMPUAN,5593,JIWA,2015
117,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071001,SUKAMULYA,LAKI-LAKI,3353,JIWA,2015
118,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071001,SUKAMULYA,PEREMPUAN,3209,JIWA,2015
119,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071002,SUKARINDIK,LAKI-LAKI,4631,JIWA,2015
120,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071002,SUKARINDIK,PEREMPUAN,4592,JIWA,2015
121,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071003,BUNGURSARI,LAKI-LAKI,3027,JIWA,2015
122,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071003,BUNGURSARI,PEREMPUAN,2948,JIWA,2015
123,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071004,SUKAJAYA,LAKI-LAKI,2712,JIWA,2015
124,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071004,SUKAJAYA,PEREMPUAN,2580,JIWA,2015
125,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071005,CIBUNIGEULIS,LAKI-LAKI,3183,JIWA,2015
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071005,CIBUNIGEULIS,PEREMPUAN,2976,JIWA,2015
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071006,BANTARSARI,LAKI-LAKI,5119,JIWA,2015
128,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071006,BANTARSARI,PEREMPUAN,4965,JIWA,2015
129,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071007,SUKALAKSANA,LAKI-LAKI,3500,JIWA,2015
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278071,BUNGURSARI,3278071007,SUKALAKSANA,PEREMPUAN,3367,JIWA,2015
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278080,CIPEDES,3278080001,PANGLAYUNGAN,LAKI-LAKI,11915,JIWA,2015
132,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278080,CIPEDES,3278080001,PANGLAYUNGAN,PEREMPUAN,11233,JIWA,2015
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278080,CIPEDES,3278080002,CIPEDES,LAKI-LAKI,8880,JIWA,2015
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278080,CIPEDES,3278080002,CIPEDES,PEREMPUAN,8470,JIWA,2015
